       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 75
         epochs: 1000
         d_rate: 0
       int_step: 0.2000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 2
     ADAPTIT_rs: 1
      ADAPTIT_w: 1250
    layer_sizes: [400 50 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0405_164018'
          log_f: 3

Epoch 257 | Cost: 3.568040e-01 | Training Set Accuracy: 89.628333
Epoch 258 | Cost: 3.564230e-01 | Training Set Accuracy: 89.638333
Epoch 259 | Cost: 3.560538e-01 | Training Set Accuracy: 89.641667
Epoch 260 | Cost: 3.556947e-01 | Training Set Accuracy: 89.661667
Epoch 261 | Cost: 3.553441e-01 | Training Set Accuracy: 89.678333
Epoch 262 | Cost: 3.550007e-01 | Training Set Accuracy: 89.696667
Epoch 263 | Cost: 3.546639e-01 | Training Set Accuracy: 89.703333
Epoch 264 | Cost: 3.543332e-01 | Training Set Accuracy: 89.703333
Epoch 265 | Cost: 3.540084e-01 | Training Set Accuracy: 89.715000
Epoch 266 | Cost: 3.536891e-01 | Training Set Accuracy: 89.725000
Epoch 267 | Cost: 3.533751e-01 | Training Set Accuracy: 89.735000
Epoch 268 | Cost: 3.530662e-01 | Training Set Accuracy: 89.750000
Epoch 269 | Cost: 3.527620e-01 | Training Set Accuracy: 89.760000
Epoch 270 | Cost: 3.524623e-01 | Training Set Accuracy: 89.765000
Epoch 271 | Cost: 3.521671e-01 | Training Set Accuracy: 89.781667
Epoch 272 | Cost: 3.518760e-01 | Training Set Accuracy: 89.785000
Epoch 273 | Cost: 3.515885e-01 | Training Set Accuracy: 89.790000
Epoch 274 | Cost: 3.513049e-01 | Training Set Accuracy: 89.803333
Epoch 275 | Cost: 3.510255e-01 | Training Set Accuracy: 89.811667
Epoch 276 | Cost: 3.507506e-01 | Training Set Accuracy: 89.818333
Epoch 277 | Cost: 3.504802e-01 | Training Set Accuracy: 89.838333
Epoch 278 | Cost: 3.502150e-01 | Training Set Accuracy: 89.848333
Epoch 279 | Cost: 3.499546e-01 | Training Set Accuracy: 89.866667
Epoch 280 | Cost: 3.496985e-01 | Training Set Accuracy: 89.876667
Epoch 281 | Cost: 3.494464e-01 | Training Set Accuracy: 89.883333
Epoch 282 | Cost: 3.491980e-01 | Training Set Accuracy: 89.893333
Epoch 283 | Cost: 3.489533e-01 | Training Set Accuracy: 89.900000
Epoch 284 | Cost: 3.487119e-01 | Training Set Accuracy: 89.905000
Epoch 285 | Cost: 3.484739e-01 | Training Set Accuracy: 89.908333
Epoch 286 | Cost: 3.482385e-01 | Training Set Accuracy: 89.915000
Epoch 287 | Cost: 3.480056e-01 | Training Set Accuracy: 89.920000
Epoch 288 | Cost: 3.477753e-01 | Training Set Accuracy: 89.928333
Epoch 289 | Cost: 3.475474e-01 | Training Set Accuracy: 89.933333
Epoch 290 | Cost: 3.473224e-01 | Training Set Accuracy: 89.940000
Epoch 291 | Cost: 3.471000e-01 | Training Set Accuracy: 89.941667
Epoch 292 | Cost: 3.468802e-01 | Training Set Accuracy: 89.946667
Epoch 293 | Cost: 3.466629e-01 | Training Set Accuracy: 89.950000
Epoch 294 | Cost: 3.464482e-01 | Training Set Accuracy: 89.960000
Epoch 295 | Cost: 3.462361e-01 | Training Set Accuracy: 89.971667
Epoch 296 | Cost: 3.460267e-01 | Training Set Accuracy: 89.980000
Epoch 297 | Cost: 3.458197e-01 | Training Set Accuracy: 89.986667
Epoch 298 | Cost: 3.456154e-01 | Training Set Accuracy: 89.990000
Epoch 299 | Cost: 3.454136e-01 | Training Set Accuracy: 89.995000
Epoch 300 | Cost: 3.452142e-01 | Training Set Accuracy: 89.995000
Epoch 301 | Cost: 3.450171e-01 | Training Set Accuracy: 89.998333
Epoch 302 | Cost: 3.448221e-01 | Training Set Accuracy: 90.001667
Epoch 303 | Cost: 3.446290e-01 | Training Set Accuracy: 90.011667
Epoch 304 | Cost: 3.444377e-01 | Training Set Accuracy: 90.008333
Epoch 305 | Cost: 3.442477e-01 | Training Set Accuracy: 89.998333
Epoch 306 | Cost: 3.440581e-01 | Training Set Accuracy: 90.008333
Epoch 307 | Cost: 3.438688e-01 | Training Set Accuracy: 90.010000
Epoch 308 | Cost: 3.436793e-01 | Training Set Accuracy: 90.016667
Epoch 309 | Cost: 3.434901e-01 | Training Set Accuracy: 90.030000
Epoch 310 | Cost: 3.433008e-01 | Training Set Accuracy: 90.036667
Epoch 311 | Cost: 3.431117e-01 | Training Set Accuracy: 90.051667
Epoch 312 | Cost: 3.429231e-01 | Training Set Accuracy: 90.058333
Epoch 313 | Cost: 3.427353e-01 | Training Set Accuracy: 90.068333
Epoch 314 | Cost: 3.425483e-01 | Training Set Accuracy: 90.078333
Epoch 315 | Cost: 3.423612e-01 | Training Set Accuracy: 90.086667
Epoch 316 | Cost: 3.421745e-01 | Training Set Accuracy: 90.093333
Epoch 317 | Cost: 3.419883e-01 | Training Set Accuracy: 90.096667
Epoch 318 | Cost: 3.418031e-01 | Training Set Accuracy: 90.108333
Epoch 319 | Cost: 3.416192e-01 | Training Set Accuracy: 90.108333
Epoch 320 | Cost: 3.414367e-01 | Training Set Accuracy: 90.123333
Epoch 321 | Cost: 3.412562e-01 | Training Set Accuracy: 90.123333
Epoch 322 | Cost: 3.410776e-01 | Training Set Accuracy: 90.126667
Epoch 323 | Cost: 3.409003e-01 | Training Set Accuracy: 90.126667
Epoch 324 | Cost: 3.407245e-01 | Training Set Accuracy: 90.128333
Epoch 325 | Cost: 3.405501e-01 | Training Set Accuracy: 90.136667
Epoch 326 | Cost: 3.403775e-01 | Training Set Accuracy: 90.135000
Epoch 327 | Cost: 3.402064e-01 | Training Set Accuracy: 90.133333
Epoch 328 | Cost: 3.400372e-01 | Training Set Accuracy: 90.148333
Epoch 329 | Cost: 3.398697e-01 | Training Set Accuracy: 90.146667
Epoch 330 | Cost: 3.397042e-01 | Training Set Accuracy: 90.151667
Epoch 331 | Cost: 3.395407e-01 | Training Set Accuracy: 90.156667
Epoch 332 | Cost: 3.393794e-01 | Training Set Accuracy: 90.163333
Epoch 333 | Cost: 3.392205e-01 | Training Set Accuracy: 90.175000
Epoch 334 | Cost: 3.390632e-01 | Training Set Accuracy: 90.178333
Epoch 335 | Cost: 3.389079e-01 | Training Set Accuracy: 90.185000
Epoch 336 | Cost: 3.387547e-01 | Training Set Accuracy: 90.186667
Epoch 337 | Cost: 3.386039e-01 | Training Set Accuracy: 90.200000
Epoch 338 | Cost: 3.384554e-01 | Training Set Accuracy: 90.195000
Epoch 339 | Cost: 3.383094e-01 | Training Set Accuracy: 90.198333
Epoch 340 | Cost: 3.381656e-01 | Training Set Accuracy: 90.200000
Epoch 341 | Cost: 3.380242e-01 | Training Set Accuracy: 90.208333
Epoch 342 | Cost: 3.378852e-01 | Training Set Accuracy: 90.205000
Epoch 343 | Cost: 3.377485e-01 | Training Set Accuracy: 90.208333
