       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 100
         epochs: 1000
         d_rate: 0
       int_step: 0.1000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 4
     ADAPTIT_rs: 2
      ADAPTIT_w: 1250
    layer_sizes: [400 50 50 10 10]
       n_layers: 5
            var: [1 1 1 1 1]
      timestamp: '0322_150311'
          log_f: 3

Epoch 244 | Cost: 3.711791e-01 | Training Set Accuracy: 90.013333
Epoch 245 | Cost: 3.703064e-01 | Training Set Accuracy: 90.030000
Epoch 246 | Cost: 3.694427e-01 | Training Set Accuracy: 90.043333
Epoch 247 | Cost: 3.685881e-01 | Training Set Accuracy: 90.061667
Epoch 248 | Cost: 3.677426e-01 | Training Set Accuracy: 90.066667
Epoch 249 | Cost: 3.669063e-01 | Training Set Accuracy: 90.083333
Epoch 250 | Cost: 3.660794e-01 | Training Set Accuracy: 90.091667
Epoch 251 | Cost: 3.652619e-01 | Training Set Accuracy: 90.103333
Epoch 252 | Cost: 3.644540e-01 | Training Set Accuracy: 90.113333
Epoch 253 | Cost: 3.636560e-01 | Training Set Accuracy: 90.121667
Epoch 254 | Cost: 3.628680e-01 | Training Set Accuracy: 90.136667
Epoch 255 | Cost: 3.620903e-01 | Training Set Accuracy: 90.145000
Epoch 256 | Cost: 3.613231e-01 | Training Set Accuracy: 90.148333
Epoch 257 | Cost: 3.605668e-01 | Training Set Accuracy: 90.155000
Epoch 258 | Cost: 3.598217e-01 | Training Set Accuracy: 90.160000
Epoch 259 | Cost: 3.590882e-01 | Training Set Accuracy: 90.170000
Epoch 260 | Cost: 3.583667e-01 | Training Set Accuracy: 90.188333
Epoch 261 | Cost: 3.576578e-01 | Training Set Accuracy: 90.200000
Epoch 262 | Cost: 3.569618e-01 | Training Set Accuracy: 90.225000
Epoch 263 | Cost: 3.562795e-01 | Training Set Accuracy: 90.231667
Epoch 264 | Cost: 3.556113e-01 | Training Set Accuracy: 90.236667
Epoch 265 | Cost: 3.549580e-01 | Training Set Accuracy: 90.238333
Epoch 266 | Cost: 3.543204e-01 | Training Set Accuracy: 90.246667
Epoch 267 | Cost: 3.536991e-01 | Training Set Accuracy: 90.248333
Epoch 268 | Cost: 3.530951e-01 | Training Set Accuracy: 90.260000
Epoch 269 | Cost: 3.525092e-01 | Training Set Accuracy: 90.270000
Epoch 270 | Cost: 3.519425e-01 | Training Set Accuracy: 90.271667
Epoch 271 | Cost: 3.513960e-01 | Training Set Accuracy: 90.280000
Epoch 272 | Cost: 3.508709e-01 | Training Set Accuracy: 90.283333
Epoch 273 | Cost: 3.503683e-01 | Training Set Accuracy: 90.286667
Epoch 274 | Cost: 3.498895e-01 | Training Set Accuracy: 90.296667
Epoch 275 | Cost: 3.494358e-01 | Training Set Accuracy: 90.303333
Epoch 276 | Cost: 3.490087e-01 | Training Set Accuracy: 90.295000
Epoch 277 | Cost: 3.486097e-01 | Training Set Accuracy: 90.306667
Epoch 278 | Cost: 3.482402e-01 | Training Set Accuracy: 90.305000
Epoch 279 | Cost: 3.479018e-01 | Training Set Accuracy: 90.303333
Epoch 280 | Cost: 3.475961e-01 | Training Set Accuracy: 90.315000
Epoch 281 | Cost: 3.473248e-01 | Training Set Accuracy: 90.296667
Epoch 282 | Cost: 3.470894e-01 | Training Set Accuracy: 90.293333
Epoch 283 | Cost: 3.468917e-01 | Training Set Accuracy: 90.286667
Epoch 284 | Cost: 3.467332e-01 | Training Set Accuracy: 90.285000
Epoch 285 | Cost: 3.466153e-01 | Training Set Accuracy: 90.285000
Epoch 286 | Cost: 3.465395e-01 | Training Set Accuracy: 90.280000
Epoch 287 | Cost: 3.465070e-01 | Training Set Accuracy: 90.266667
Epoch 288 | Cost: 3.465190e-01 | Training Set Accuracy: 90.248333
New learning rate: 0.90000
New inference its: 6400
New inference steps: 1.250000e-02
Epoch 289 | Cost: 3.444190e-01 | Training Set Accuracy: 90.303333
Epoch 290 | Cost: 3.417090e-01 | Training Set Accuracy: 90.401667
Epoch 291 | Cost: 3.396458e-01 | Training Set Accuracy: 90.416667
Epoch 292 | Cost: 3.385879e-01 | Training Set Accuracy: 90.460000
Epoch 293 | Cost: 3.381794e-01 | Training Set Accuracy: 90.458333
Epoch 294 | Cost: 3.378971e-01 | Training Set Accuracy: 90.495000
Epoch 295 | Cost: 3.374574e-01 | Training Set Accuracy: 90.531667
Epoch 296 | Cost: 3.368734e-01 | Training Set Accuracy: 90.543333
Epoch 297 | Cost: 3.362841e-01 | Training Set Accuracy: 90.570000
Epoch 298 | Cost: 3.357840e-01 | Training Set Accuracy: 90.598333
Epoch 299 | Cost: 3.353745e-01 | Training Set Accuracy: 90.625000
Epoch 300 | Cost: 3.350087e-01 | Training Set Accuracy: 90.651667
Epoch 301 | Cost: 3.346480e-01 | Training Set Accuracy: 90.658333
Epoch 302 | Cost: 3.342827e-01 | Training Set Accuracy: 90.655000
Epoch 303 | Cost: 3.339208e-01 | Training Set Accuracy: 90.665000
Epoch 304 | Cost: 3.335684e-01 | Training Set Accuracy: 90.691667
Epoch 305 | Cost: 3.332228e-01 | Training Set Accuracy: 90.700000
Epoch 306 | Cost: 3.328770e-01 | Training Set Accuracy: 90.703333
Epoch 307 | Cost: 3.325277e-01 | Training Set Accuracy: 90.721667
Epoch 308 | Cost: 3.321785e-01 | Training Set Accuracy: 90.746667
Epoch 309 | Cost: 3.318371e-01 | Training Set Accuracy: 90.771667
Epoch 310 | Cost: 3.315111e-01 | Training Set Accuracy: 90.786667
Epoch 311 | Cost: 3.312043e-01 | Training Set Accuracy: 90.801667
Epoch 312 | Cost: 3.309165e-01 | Training Set Accuracy: 90.816667
Epoch 313 | Cost: 3.306446e-01 | Training Set Accuracy: 90.838333
Epoch 314 | Cost: 3.303841e-01 | Training Set Accuracy: 90.848333
Epoch 315 | Cost: 3.301302e-01 | Training Set Accuracy: 90.850000
Epoch 316 | Cost: 3.298781e-01 | Training Set Accuracy: 90.861667
Epoch 317 | Cost: 3.296237e-01 | Training Set Accuracy: 90.881667
Epoch 318 | Cost: 3.293644e-01 | Training Set Accuracy: 90.890000
Epoch 319 | Cost: 3.290991e-01 | Training Set Accuracy: 90.898333
Epoch 320 | Cost: 3.288284e-01 | Training Set Accuracy: 90.906667
Epoch 321 | Cost: 3.285540e-01 | Training Set Accuracy: 90.926667
Epoch 322 | Cost: 3.282780e-01 | Training Set Accuracy: 90.930000
Epoch 323 | Cost: 3.280020e-01 | Training Set Accuracy: 90.945000
Epoch 324 | Cost: 3.277272e-01 | Training Set Accuracy: 90.958333
Epoch 325 | Cost: 3.274538e-01 | Training Set Accuracy: 90.965000
Epoch 326 | Cost: 3.271814e-01 | Training Set Accuracy: 90.980000
Epoch 327 | Cost: 3.269093e-01 | Training Set Accuracy: 90.988333
Epoch 328 | Cost: 3.266363e-01 | Training Set Accuracy: 91.001667
Epoch 329 | Cost: 3.263614e-01 | Training Set Accuracy: 91.011667
Epoch 330 | Cost: 3.260838e-01 | Training Set Accuracy: 91.021667
Epoch 331 | Cost: 3.258029e-01 | Training Set Accuracy: 91.030000
Epoch 332 | Cost: 3.255186e-01 | Training Set Accuracy: 91.050000
Epoch 333 | Cost: 3.252311e-01 | Training Set Accuracy: 91.056667
Epoch 334 | Cost: 3.249408e-01 | Training Set Accuracy: 91.066667
Epoch 335 | Cost: 3.246483e-01 | Training Set Accuracy: 91.073333
Epoch 336 | Cost: 3.243540e-01 | Training Set Accuracy: 91.081667
Epoch 337 | Cost: 3.240584e-01 | Training Set Accuracy: 91.090000
Epoch 338 | Cost: 3.237617e-01 | Training Set Accuracy: 91.090000
Epoch 339 | Cost: 3.234640e-01 | Training Set Accuracy: 91.091667
Epoch 340 | Cost: 3.231655e-01 | Training Set Accuracy: 91.101667
Epoch 341 | Cost: 3.228661e-01 | Training Set Accuracy: 91.111667
Epoch 342 | Cost: 3.225656e-01 | Training Set Accuracy: 91.121667
Epoch 343 | Cost: 3.222642e-01 | Training Set Accuracy: 91.128333
Epoch 344 | Cost: 3.219617e-01 | Training Set Accuracy: 91.145000
